Path,Type,Size
/home/valery/PycharmProjects/basic-python/.git/objects/a4,Directory,13459
/home/valery/PycharmProjects/basic-python/.git/objects/36,Directory,10754
/home/valery/PycharmProjects/basic-python/.git/objects/86,Directory,20433
/home/valery/PycharmProjects/basic-python/.git/objects/0d,Directory,5115
/home/valery/PycharmProjects/basic-python/.git/objects/69,Directory,20153
/home/valery/PycharmProjects/basic-python/.git/objects/d5,Directory,41009
/home/valery/PycharmProjects/basic-python/.git/objects/bd,Directory,3512
/home/valery/PycharmProjects/basic-python/.git/objects/13,Directory,9225
/home/valery/PycharmProjects/basic-python/.git/objects/54,Directory,2981
/home/valery/PycharmProjects/basic-python/.git/objects/0e,Directory,29988
/home/valery/PycharmProjects/basic-python/.git/objects/fc,Directory,8932
/home/valery/PycharmProjects/basic-python/.git/objects/17,Directory,6001
/home/valery/PycharmProjects/basic-python/.git/objects/9c,Directory,3461
/home/valery/PycharmProjects/basic-python/.git/objects/25,Directory,25587
/home/valery/PycharmProjects/basic-python/.git/objects/b5,Directory,15202
/home/valery/PycharmProjects/basic-python/.git/objects/3f,Directory,18775
/home/valery/PycharmProjects/basic-python/.git/objects/76,Directory,12440
/home/valery/PycharmProjects/basic-python/.git/objects/b3,Directory,17111
/home/valery/PycharmProjects/basic-python/.git/objects/b8,Directory,4295
/home/valery/PycharmProjects/basic-python/.git/objects/b2,Directory,26445
/home/valery/PycharmProjects/basic-python/.git/objects/c6,Directory,18244
/home/valery/PycharmProjects/basic-python/.git/objects/82,Directory,33940
/home/valery/PycharmProjects/basic-python/.git/objects/50,Directory,2618
/home/valery/PycharmProjects/basic-python/.git/objects/da,Directory,19300
/home/valery/PycharmProjects/basic-python/.git/objects/92,Directory,9174
/home/valery/PycharmProjects/basic-python/.git/objects/7a,Directory,70156
/home/valery/PycharmProjects/basic-python/.git/objects/94,Directory,10033
/home/valery/PycharmProjects/basic-python/.git/objects/6e,Directory,8863
/home/valery/PycharmProjects/basic-python/.git/objects/00,Directory,8471
/home/valery/PycharmProjects/basic-python/.git/objects/f4,Directory,28489
/home/valery/PycharmProjects/basic-python/.git/objects/db,Directory,27667
/home/valery/PycharmProjects/basic-python/.git/objects/info,Directory,0
/home/valery/PycharmProjects/basic-python/.git/objects/2a,Directory,3322
/home/valery/PycharmProjects/basic-python/.git/objects/5e,Directory,24384
/home/valery/PycharmProjects/basic-python/.git/objects/c7,Directory,29247
/home/valery/PycharmProjects/basic-python/.git/objects/0c,Directory,1042
/home/valery/PycharmProjects/basic-python/.git/objects/41,Directory,2990
/home/valery/PycharmProjects/basic-python/.git/objects/6f,Directory,1921
/home/valery/PycharmProjects/basic-python/.git/objects/90,Directory,11070
/home/valery/PycharmProjects/basic-python/.git/objects/df,Directory,2616
/home/valery/PycharmProjects/basic-python/.git/objects/ef,Directory,5520
/home/valery/PycharmProjects/basic-python/.git/objects/15,Directory,16751
/home/valery/PycharmProjects/basic-python/.git/objects/5c,Directory,12534
/home/valery/PycharmProjects/basic-python/.git/objects/2f,Directory,1953
/home/valery/PycharmProjects/basic-python/.git/objects/43,Directory,17753
/home/valery/PycharmProjects/basic-python/.git/objects/a9,Directory,56
/home/valery/PycharmProjects/basic-python/.git/objects/cc,Directory,35167
/home/valery/PycharmProjects/basic-python/.git/objects/89,Directory,12487
/home/valery/PycharmProjects/basic-python/.git/objects/07,Directory,18385
/home/valery/PycharmProjects/basic-python/.git/objects/2c,Directory,2537
/home/valery/PycharmProjects/basic-python/.git/objects/55,Directory,29777
/home/valery/PycharmProjects/basic-python/.git/objects/47,Directory,21384
/home/valery/PycharmProjects/basic-python/.git/objects/14,Directory,5014
/home/valery/PycharmProjects/basic-python/.git/objects/42,Directory,1070
/home/valery/PycharmProjects/basic-python/.git/objects/75,Directory,9960
/home/valery/PycharmProjects/basic-python/.git/objects/08,Directory,25785
/home/valery/PycharmProjects/basic-python/.git/objects/c4,Directory,6204
/home/valery/PycharmProjects/basic-python/.git/objects/b0,Directory,10076
/home/valery/PycharmProjects/basic-python/.git/objects/3b,Directory,10340
/home/valery/PycharmProjects/basic-python/.git/objects/b4,Directory,33668
/home/valery/PycharmProjects/basic-python/.git/objects/06,Directory,7617
/home/valery/PycharmProjects/basic-python/.git/objects/66,Directory,17624
/home/valery/PycharmProjects/basic-python/.git/objects/2b,Directory,20567
/home/valery/PycharmProjects/basic-python/.git/objects/8e,Directory,5970
/home/valery/PycharmProjects/basic-python/.git/objects/05,Directory,6071
/home/valery/PycharmProjects/basic-python/.git/objects/99,Directory,6900
/home/valery/PycharmProjects/basic-python/.git/objects/c1,Directory,1622
/home/valery/PycharmProjects/basic-python/.git/objects/f0,Directory,40355
/home/valery/PycharmProjects/basic-python/.git/objects/57,Directory,75843
/home/valery/PycharmProjects/basic-python/.git/objects/63,Directory,62700
/home/valery/PycharmProjects/basic-python/.git/objects/78,Directory,35191
/home/valery/PycharmProjects/basic-python/.git/objects/8c,Directory,6614
/home/valery/PycharmProjects/basic-python/.git/objects/c0,Directory,5117
/home/valery/PycharmProjects/basic-python/.git/objects/b6,Directory,20409
/home/valery/PycharmProjects/basic-python/.git/objects/97,Directory,17688
/home/valery/PycharmProjects/basic-python/.git/objects/93,Directory,6411
/home/valery/PycharmProjects/basic-python/.git/objects/24,Directory,5917
/home/valery/PycharmProjects/basic-python/.git/objects/1d,Directory,18555
/home/valery/PycharmProjects/basic-python/.git/objects/91,Directory,12828
/home/valery/PycharmProjects/basic-python/.git/objects/9d,Directory,13179
/home/valery/PycharmProjects/basic-python/.git/objects/9f,Directory,25267
/home/valery/PycharmProjects/basic-python/.git/objects/b7,Directory,21450
/home/valery/PycharmProjects/basic-python/.git/objects/1a,Directory,6983
/home/valery/PycharmProjects/basic-python/.git/objects/6a,Directory,17101
/home/valery/PycharmProjects/basic-python/.git/objects/bf,Directory,10876
/home/valery/PycharmProjects/basic-python/.git/objects/1c,Directory,3878
/home/valery/PycharmProjects/basic-python/.git/objects/c3,Directory,7626
/home/valery/PycharmProjects/basic-python/.git/objects/27,Directory,31346
/home/valery/PycharmProjects/basic-python/.git/objects/5b,Directory,7891
/home/valery/PycharmProjects/basic-python/.git/objects/4e,Directory,24592
/home/valery/PycharmProjects/basic-python/.git/objects/1b,Directory,13486
/home/valery/PycharmProjects/basic-python/.git/objects/30,Directory,2169
/home/valery/PycharmProjects/basic-python/.git/objects/65,Directory,3058
/home/valery/PycharmProjects/basic-python/.git/objects/26,Directory,16647
/home/valery/PycharmProjects/basic-python/.git/objects/28,Directory,38238
/home/valery/PycharmProjects/basic-python/.git/objects/bc,Directory,2924
/home/valery/PycharmProjects/basic-python/.git/objects/bb,Directory,13461
/home/valery/PycharmProjects/basic-python/.git/objects/31,Directory,7434
/home/valery/PycharmProjects/basic-python/.git/objects/e3,Directory,15265
/home/valery/PycharmProjects/basic-python/.git/objects/9e,Directory,2830
/home/valery/PycharmProjects/basic-python/.git/objects/fe,Directory,35758
/home/valery/PycharmProjects/basic-python/.git/objects/ec,Directory,4206
/home/valery/PycharmProjects/basic-python/.git/objects/04,Directory,2043
/home/valery/PycharmProjects/basic-python/.git/objects/77,Directory,20558
/home/valery/PycharmProjects/basic-python/.git/objects/d6,Directory,2749431
/home/valery/PycharmProjects/basic-python/.git/objects/e5,Directory,12258
/home/valery/PycharmProjects/basic-python/.git/objects/d0,Directory,37523
/home/valery/PycharmProjects/basic-python/.git/objects/a7,Directory,13947
/home/valery/PycharmProjects/basic-python/.git/objects/a8,Directory,5808
/home/valery/PycharmProjects/basic-python/.git/objects/37,Directory,24956
/home/valery/PycharmProjects/basic-python/.git/objects/1f,Directory,58666
/home/valery/PycharmProjects/basic-python/.git/objects/60,Directory,22470
/home/valery/PycharmProjects/basic-python/.git/objects/e2,Directory,11338
/home/valery/PycharmProjects/basic-python/.git/objects/5d,Directory,10997
/home/valery/PycharmProjects/basic-python/.git/objects/29,Directory,4119
/home/valery/PycharmProjects/basic-python/.git/objects/cb,Directory,10862
/home/valery/PycharmProjects/basic-python/.git/objects/f5,Directory,19926
/home/valery/PycharmProjects/basic-python/.git/objects/f3,Directory,718
/home/valery/PycharmProjects/basic-python/.git/objects/f8,Directory,38635
/home/valery/PycharmProjects/basic-python/.git/objects/e4,Directory,5099
/home/valery/PycharmProjects/basic-python/.git/objects/40,Directory,1281
/home/valery/PycharmProjects/basic-python/.git/objects/ee,Directory,21171
/home/valery/PycharmProjects/basic-python/.git/objects/7b,Directory,20809
/home/valery/PycharmProjects/basic-python/.git/objects/a2,Directory,718
/home/valery/PycharmProjects/basic-python/.git/objects/ba,Directory,12622
/home/valery/PycharmProjects/basic-python/.git/objects/fd,Directory,1007
/home/valery/PycharmProjects/basic-python/.git/objects/02,Directory,183936
/home/valery/PycharmProjects/basic-python/.git/objects/d8,Directory,7814
/home/valery/PycharmProjects/basic-python/.git/objects/cd,Directory,2593
/home/valery/PycharmProjects/basic-python/.git/objects/9a,Directory,17711
/home/valery/PycharmProjects/basic-python/.git/objects/33,Directory,54865
/home/valery/PycharmProjects/basic-python/.git/objects/a0,Directory,6565
/home/valery/PycharmProjects/basic-python/.git/objects/70,Directory,5890
/home/valery/PycharmProjects/basic-python/.git/objects/10,Directory,142
/home/valery/PycharmProjects/basic-python/.git/objects/dc,Directory,14684
/home/valery/PycharmProjects/basic-python/.git/objects/74,Directory,13494
/home/valery/PycharmProjects/basic-python/.git/objects/87,Directory,2812
/home/valery/PycharmProjects/basic-python/.git/objects/a6,Directory,29522
/home/valery/PycharmProjects/basic-python/.git/objects/22,Directory,20521
/home/valery/PycharmProjects/basic-python/.git/objects/ff,Directory,21477
/home/valery/PycharmProjects/basic-python/.git/objects/e1,Directory,15324
/home/valery/PycharmProjects/basic-python/.git/objects/e7,Directory,271
/home/valery/PycharmProjects/basic-python/.git/objects/95,Directory,44263
/home/valery/PycharmProjects/basic-python/.git/objects/3d,Directory,604
/home/valery/PycharmProjects/basic-python/.git/objects/d4,Directory,4704
/home/valery/PycharmProjects/basic-python/.git/objects/0f,Directory,62404
/home/valery/PycharmProjects/basic-python/.git/objects/8f,Directory,49331
/home/valery/PycharmProjects/basic-python/.git/objects/c9,Directory,25222
/home/valery/PycharmProjects/basic-python/.git/objects/5a/4da4ff49bc80ef49e8aa7e01cc8555518bd1b1,File,77
/home/valery/PycharmProjects/basic-python/.git/objects/48/0058f10dd6a8205d1bff0b94de7ae347a7629a,File,899
